tension,latitud_y_longitud,poder de voltaje
13.2,"-66.0509493465791,-22.4470825209253",MEDIO
13.2,"-65.9304927621207,-22.2058162148007",MEDIO
13.2,"-65.9280314868264,-22.2152146219307",MEDIO
13.2,"-66.0514380675626,-22.5791566875457",MEDIO
13.2,"-64.821220053381,-24.2212435180951",MEDIO
13.2,"-64.8077043024415,-24.2211082705123",MEDIO
13.2,"-65.4499328001473,-24.1850826950543",MEDIO
13.2,"-65.4499308492302,-24.1850671568395",MEDIO
13.2,"-65.292207365842,-24.2072616321273",MEDIO
13.2,"-65.2891722949335,-24.2061458572565",MEDIO
13.2,"-65.2874638835466,-24.2052943325933",MEDIO
13.2,"-65.2898347901088,-24.2050504045229",MEDIO
13.2,"-65.2955856304431,-24.209494157738",MEDIO
13.2,"-65.2938632436819,-24.2086618954081",MEDIO
13.2,"-65.2898568720991,-24.2050132444335",MEDIO
13.2,"-65.2822770594454,-23.1788158127789",MEDIO
13.2,"-65.2916668958421,-23.1586910766238",MEDIO
13.2,"-65.3957362991225,-23.5776146911683",MEDIO
13.2,"-65.9953147182882,-22.474165128499",MEDIO
13.2,"-65.9953418805823,-22.4742030945406",MEDIO
13.2,"-65.4397294484339,-24.1105259097926",MEDIO
13.2,"-65.4410673226059,-24.1134296421251",MEDIO
13.2,"-65.44103451733,-24.1133872941416",MEDIO
13.2,"-65.2745359679751,-24.2336446727062",MEDIO
13.2,"-65.2745371518021,-24.2336200905982",MEDIO
13.2,"-65.1779048987256,-24.09334163807",MEDIO
13.2,"-65.17790495633,-24.0933326104384",MEDIO
13.2,"-65.1779050139343,-24.0933235828067",MEDIO
13.2,"-65.1789935215047,-24.0933256410987",MEDIO
13.2,"-65.4700270900343,-24.1752039915028",MEDIO
13.2,"-65.4700270188407,-24.1751814324669",MEDIO
13.2,"-65.2051864651908,-24.2679522812841",MEDIO
13.2,"-65.2051033396153,-24.2670835613079",MEDIO
13.2,"-65.2051865213393,-24.2679432537983",MEDIO
