tension,geojson
13.2,"-64.7162309090555,-24.2734202818815"
13.2,"-64.7162308183468,-24.2734293079568"
13.2,"-65.2737665262857,-24.2303876007357"
13.2,"-65.2752779018533,-24.2323102651583"
13.2,"-65.2751753216141,-24.2328298588657"
13.2,"-65.2753101224349,-24.2323132688035"
13.2,"-65.2752817337367,-24.2322849357376"
13.2,"-65.5919474793974,-22.1060117503006"
13.2,"-65.588865745876,-22.1055341005954"
33,"-65.5893142490084,-22.1035972682389"
33,"-65.5891891460295,-22.1028446536848"
33,"-65.5891097709117,-22.10356257642"
13.2,"-65.5925375280809,-22.1039664454841"
13.2,"-65.5916652264491,-22.103858798518"
13.2,"-65.5916555158742,-22.103857528287"
13.2,"-64.7971193784633,-23.9651265773558"
13.2,"-65.4723968532923,-23.7512008859699"
13.2,"-65.472396889672,-23.7511918573875"
13.2,"-65.4726449723058,-23.7519743255154"
13.2,"-64.6782274658436,-24.1912478625414"
13.2,"-64.6775593201488,-24.1914055485547"
13.2,"-64.6782232713915,-24.1912627899596"
13.2,"-64.7024775623391,-24.2444667816366"
13.2,"-64.6963520398311,-24.2293024423644"
13.2,"-64.6965391056412,-24.2290687021832"
13.2,"-64.7102483475971,-24.2250182517083"
13.2,"-64.6967432454345,-24.2289350474089"
13.2,"-64.6965618819074,-24.2290553569466"
13.2,"-65.0559068754415,-24.5097311727495"
13.2,"-65.0559067951626,-24.509708667822"
13.2,"-65.0535850833415,-24.5045484135989"
13.2,"-65.0531868526137,-24.5036980102308"
13.2,"-65.237990462095,-24.2268613993751"
13.2,"-65.2407131186462,-24.2261110513838"
13.2,"-65.3566270511867,-23.204093564884"
13.2,"-65.3566267889863,-23.2040844474979"
13.2,"-65.3553852585591,-23.2036239771153"
13.2,"-65.35348509766,-23.4397653775117"
13.2,"-65.3536973214991,-23.4414018060788"
13.2,"-65.3512665119246,-23.4393239059166"
13.2,"-65.3589155458665,-23.1950727749264"
13.2,"-65.3533877657639,-23.1980006083808"
13.2,"-65.3596171108778,-23.1934352907765"
13.2,"-65.3994920759303,-23.5792975963911"
13.2,"-65.4011880857695,-23.577997263125"
13.2,"-65.3828445603128,-23.5310018358761"
13.2,"-65.3828445186013,-23.5310018591627"
13.2,"-64.6344001756898,-24.3366227832972"
13.2,"-64.6315991016256,-24.3385234243941"
13.2,"-64.6272994773063,-24.3366223180442"
13.2,"-64.598999899168,-24.3320316551886"
13.2,"-64.5827993357033,-24.3280224860426"
13.2,"-65.5907911080132,-22.1352455227795"
13.2,"-65.5962022883852,-22.1390110241038"
13.2,"-65.4133306341859,-23.5937089473571"
13.2,"-65.413330651108,-23.5937342218154"
13.2,"-65.4121055239035,-23.5941282181891"
13.2,"-65.2001380069287,-24.2697244803249"
13.2,"-65.1987338540634,-24.2697216513409"
13.2,"-65.197932760474,-24.2697630204185"
13.2,"-65.4726446681879,-23.7519459350468"
13.2,"-65.4758678826973,-23.7607403179239"
13.2,"-65.4724797671699,-23.7516813556743"
13.2,"-65.4708859302609,-23.7490176253763"
13.2,"-65.4708995527075,-23.7490447581354"
13.2,"-65.2651634346707,-24.2066081556446"
13.2,"-65.2650648131935,-24.2065181263201"
13.2,"-65.2647421513245,-24.2062173919647"
13.2,"-65.2644336787262,-24.2059379422029"
13.2,"-65.2647217617208,-24.2070076283115"
13.2,"-65.0987731836619,-24.4672873133446"
13.2,"-65.0987731836619,-24.4672873133445"
13.2,"-65.254086292479,-24.2376984913273"
13.2,"-65.4061323886153,-23.6244161245578"
13.2,"-64.6949169116401,-24.2260891659066"
13.2,"-64.7054235269332,-24.2519403232693"
13.2,"-64.7024778471051,-24.2444444494076"
13.2,"-64.7102903137229,-24.27328075719"
13.2,"-64.6963309823483,-24.2292068359727"
13.2,"-66.0431273153615,-22.5063932272166"
13.2,"-65.1278406922317,-24.3655961069582"
13.2,"-65.1280390219344,-24.3653568152911"
13.2,"-65.4723066332592,-23.7512243022243"
13.2,"-65.4723310996478,-23.7512137369992"
13.2,"-64.6767996361747,-24.1850832208216"
13.2,"-64.6753077204704,-24.1862423544954"
13.2,"-64.678789352115,-24.1844575238598"
13.2,"-64.6793716790493,-24.1795826924121"
13.2,"-64.6773760619152,-24.1914485634353"
13.2,"-64.6793119226649,-24.1798974338261"
13.2,"-64.6753049457376,-24.1862556711491"
13.2,"-64.6770933312034,-24.1849875056171"
13.2,"-64.7115244409491,-24.2733498970751"
13.2,"-64.6767135297557,-24.1772751954562"
33,"-64.8188520303783,-24.2717844099333"
33,"-64.712548914292,-24.2740942639276"
33,"-64.7131517074177,-24.2736886471465"
13.2,"-64.7173475359999,-24.2730884139093"
13.2,"-64.3101569973714,-23.9130311748429"
13.2,"-64.7125686069173,-24.2740944307126"
13.2,"-64.820911438946,-24.2370934088379"
13.2,"-64.7316597371825,-24.2715739385508"
13.2,"-64.7205809708736,-24.2732368268049"
13.2,"-64.740491200221,-24.2707582138537"
13.2,"-64.7125682430363,-24.2741305349588"
13.2,"-64.7125680610955,-24.2741485870818"
13.2,"-64.7125654253627,-24.274410101865"
13.2,"-64.7125651045323,-24.2744419340749"
13.2,"-64.8591785409496,-24.238075655798"
13.2,"-64.8591489684828,-24.2380799477111"
13.2,"-64.3097995904979,-23.9125700618717"
